sentence,response,response_round,type,lexicalization,condition
Я и Вова споют весёлую песню.,3.3,3.0,stimul,7.0,"3pl, and"
Летом они с Настей делают холодные коктейли.,4.733333333333333,5.0,stimul,23.0,"inclusory comitative, 3rd person pronoun"
Все из них съездят в отдалённые деревни.,3.6666666666666665,4.0,stimul,20.0,"they, elect, 3pl"
На южных курортах отдохнёт семеро из них.,4.333333333333333,4.0,stimul,24.0,"they, elect, 3sg"
Анатолий настроил пять старых и новые датчикидля сверки измерений.,3.2222222222222223,3.0,stimul,14.0,"different-in-numeral, plural, numeral_no"
Оригинал и подделка сравнивается на музейной экспертизе.,4.5,4.0,stimul,20.0,"symmetric, singular verb, SV"
Ты и я вносишь аванс за квартиру.,2.3,2.0,stimul,25.0,"you_I, 2sg"
Перекус из овощей готовлю я и ты.,3.631578947368421,4.0,stimul,31.0,"I_you, 1sg"
Эти тысяча статей находилась на рецензировании.,2.0,2.0,stimul,18.0,"plural premodifier, singular verb"
"Каждого певца, кто приехал на шоу талантов, поддерживает понимающий ведущий.",5.25,5.0,stimul,10.0,"with head noun, masculine head, masculine verb"
О нужных продуктах позаботимся мы семеро.,4.625,5.0,stimul,30.0,"we, nom, 1pl"
"Каждого, кто явился на собрание родителей, расспрашивает классный руководитель.",6.0,6.0,stimul,34.0,"no head noun, masculine head, masculine verb"
О скорых отставках объявят семеро из нас.,4.777777777777778,5.0,stimul,36.0,"we, elect, 3pl"
"В воскресенье Тоня промочила и кроссовки, и носки.",6.347368421052631,6.0,filler,33.0,good
Двое из нас придёт на пятничную вечеринку.,3.5,4.0,stimul,1.0,"we, elect, 3sg"
Стекло и рама скрепляется на первом этапе.,4.4,4.0,stimul,24.0,"symmetric, singular verb, SV"
В марте Лиза посадила русский и американский клен.,4.833333333333333,5.0,stimul,16.0,"singular, and"
Трое из нас покатаемся на двугорбых верблюдах.,2.75,3.0,stimul,26.0,"we, elect, 1pl"
Пятеро из нас пойдёт на курсы вождения.,2.1666666666666665,2.0,stimul,46.0,"we, elect, 3sg"
Они четверо разберутся со сломанными телефонами.,3.6666666666666665,4.0,stimul,9.0,"they, nom, 3pl"
В последнем докладе связывается карьера и образование.,4.428571428571429,4.0,stimul,8.0,"symmetric, singular verb, VS"
Мы все пойдём на курсы вождения.,6.375,6.0,stimul,46.0,"we, nom, 1pl"
Сосед одолжит столярный и слесарный молоток.,4.666666666666667,5.0,stimul,17.0,"singular, and"
Все из них рассчитаются с кредитными долгами.,4.4,4.0,stimul,23.0,"they, elect, 3pl"
"Те предприниматели, которые попадут под санкции, закроет бизнес.",2.5176470588235293,3.0,filler,501.0,bad
"Каждую, о ком написал ехидный автор, узнаёт подкованный читатель.",5.26,5.0,filler,37.0,good
На празднике Катя прочитала латинскую и древнегреческую оду.,5.642857142857143,6.0,stimul,4.0,"singular, and"
Физик будет заниматься цифровым или аналоговым сигналами.,4.0,4.0,stimul,1.0,"plural, or"
Участок под огород арендуешь ты и я.,3.2857142857142856,3.0,stimul,22.0,"you_I, 2sg"
Крепость из строим снега ты и я.,1.6428571428571428,2.0,stimul,30.0,"you_I, 1pl"
"Каждую даму, кто пришёл на вечер танцев, сопровождает изящный кавалер.",5.0,5.0,stimul,25.0,"with head noun, feminine head, masculine verb"
На следующем шаге перемножается икс и игрек.,5.444444444444445,5.0,stimul,11.0,"symmetric, singular verb, VS"
Этот миллион студентов выпустились из университета.,3.125,3.0,stimul,24.0,"singular premodifier, plural verb"
Я и Вася посмотрю документальный фильм.,2.9,3.0,stimul,2.0,"1sg, and"
Эти дюжина последователей ошиблась в выводах.,3.2222222222222223,3.0,stimul,23.0,"plural premodifier, singular verb"
Во время ужина Поля разбила предметы чайного и кофейного сервизов.,5.333333333333333,5.0,stimul,25.0,"plural, and"
Володя посадит берёзу или тополь.,6.175,6.0,filler,33.0,good
Они пятеро прикрепится к новым поликлиникам.,2.333333333333333,2.0,stimul,40.0,"they, nom, 3sg"
В правом углу обваливаются дом и изгородь.,2.333333333333333,2.0,stimul,14.0,"nonsymmetric, plural verb, VS"
Сапоги от грязи чистят ты и я.,2.35,2.0,stimul,9.0,"you_I, 3pl"
В перспективные акции вложимся мы трое.,4.5,4.0,stimul,44.0,"we, nom, 1pl"
Илья и я выполнят срочное поручение.,2.9,3.0,stimul,19.0,"3pl, and"
К поисковым отрядам присоединимся все из нас.,3.0,3.0,stimul,28.0,"we, elect, 1pl"
Эта тысяча писем пришли в редакцию.,1.7142857142857142,2.0,stimul,30.0,"singular premodifier, plural verb"
Миша или я исправим эту случайную ошибку.,6.1,6.0,stimul,31.0,"1pl, or"
Я или Гена раскроет это подлое преступление.,4.2,4.0,stimul,23.0,"3sg, or"
"И я, и Влад покажет короткую дорогу.",2.2,2.0,stimul,13.0,"3sg, and_and"
"И я, и Олег уточнят необходимую информацию.",4.5,4.0,stimul,14.0,"3pl, and_and"
На утренних поездах приедет мы шестеро.,2.125,2.0,stimul,5.0,"we, nom, 3sg"
"Или я, или Влад покрасит этот новый забор.",3.2,3.0,stimul,21.0,"3sg, or_or"
В учебных кабинетах подметут мы шестеро.,2.0,2.0,stimul,41.0,"we, nom, 3pl"
Федя выразит всеобщие недовольство.,3.6962025316455698,4.0,filler,33.0,bad
Карьера и образование анализируется в последнем докладе.,6.2,6.0,stimul,8.0,"nonsymmetric, singular verb, SV"
"После отпуска Маша подлатала ручки и замшевой, и холщовой сумки.",4.818181818181818,5.0,stimul,13.0,"singular, and…and"
